FRONT: a_y: -3, a_z: 107
FRONT: a_y: 0, a_z: 101
BACK: a_y: 2, a_z: 106
BACK: a_y: 7, a_z: 104
BACK: a_y: 1, a_z: 102
BACK: a_y: 4, a_z: 107
BACK: a_y: 11, a_z: 115
BACK: a_y: 1, a_z: 100
FRONT: a_y: -1, a_z: 100
FRONT: a_y: 0, a_z: 106
FRONT: a_y: 4, a_z: 102
FRONT: a_y: -1, a_z: 109
FRONT: a_y: 0, a_z: 104
BACK: a_y: 6, a_z: 100
BACK: a_y: 6, a_z: 112
FRONT: a_y: 2, a_z: 101
FRONT: a_y: -1, a_z: 104
BACK: a_y: 2, a_z: 110
FRONT: a_y: -47, a_z: 93
BACK: a_y: -45, a_z: 106
FRONT: a_y: -80, a_z: 41
BACK: a_y: -90, a_z: -44
FRONT: a_y: -91, a_z: -132
FRONT: a_y: 0, a_z: -99
BACK: a_y: 59, a_z: -100
FRONT: a_y: 84, a_z: -40
BACK: a_y: 59, a_z: 97
FRONT: a_y: 31, a_z: 92
BACK: a_y: 53, a_z: 91
FRONT: a_y: 13, a_z: 106
BACK: a_y: -1, a_z: 104
FRONT: a_y: 3, a_z: 110
BACK: a_y: 4, a_z: 107
FRONT: a_y: 1, a_z: 104
BACK: a_y: 6, a_z: 108
FRONT: a_y: 2, a_z: 102
FRONT: a_y: 3, a_z: 100
FRONT: a_y: 0, a_z: 104
BACK: a_y: 2, a_z: 103
BACK: a_y: 8, a_z: 113
FRONT: a_y: 1, a_z: 104
BACK: a_y: 5, a_z: 107
FRONT: a_y: 0, a_z: 105
BACK: a_y: 10, a_z: 101
FRONT: a_y: 3, a_z: 100
BACK: a_y: 7, a_z: 101
FRONT: a_y: 2, a_z: 109
BACK: a_y: 4, a_z: 104
BACK: a_y: 1, a_z: 106
FRONT: a_y: 0, a_z: 109
Trick: Kickflip
